zipcode,salary,car accidents,place of car accident
95391,5000,3,Main Street
39291,4000,2,First Avenue
38821,2000,1,Elm Road
95391,3000,1,Second Avenue
39291,6000,2,Broadway Street
38821,1000,3,Maple Avenue
95391,3000,1,Elm Road
39291,5000,2,First Avenue
38821,6000,1,Broadway Street
95391,2000,3,Main Street
39291,4000,1,First Avenue
38821,3000,1,Elm Road
95391,6000,2,Broadway Street
39291,5000,3,First Avenue
38821,2000,1,Main Street
95391,1000,2,Elm Road
39291,3000,3,First Avenue
38821,6000,1,Maple Avenue
95391,4000,2,Second Avenue
39291,2000,1,Broadway Street
38821,5000,3,Main Street
95391,3000,1,Elm Road
39291,1000,2,First Avenue